Period: 27/06/2024 - 27/06/2024
Item Name,Category,Week #1 Sales,Week #2 Sales,Week #3 Sales,Week #4 Sales
1,Ballpoint Pens,19,1,7,0
2,Gel Pens,6,2,1,1
3,Fountain Pens,22,12,2,3
4,Mechanical Pencils,18,0,1,1
5,Wooden Pencils,9,7,0,4
6,Highlighters,1,2,3,9
7,Markers,8,3,2,0
8,Permanent Markers,11,11,0,0
9,Whiteboard Markers,23,12,6,2
10,Colored Pencils,20,0,0,0
11,Crayons,0,17,9,3
12,Fine Liners,15,12,3,1
13,Erasers,26,4,6,3
14,Pencil Sharpeners,42,3,0,0
15,Correction Tape,7,1,0,0
16,Correction Fluid,3,3,10,0
17,Rulers,12,8,3,0
18,Protractors,7,0,4,0
19,Compasses,31,6,10,0
20,Set Squares,6,18,6,2
21,Drafting Stencils,16,16,1,0
22,Graph Paper,0,2,3,6
23,Notebooks,4,13,7,0
24,Spiral Notebooks,11,7,0,0
25,Sticky Notes,5,1,5,12
26,Index Cards,8,13,4,3
27,Envelopes,3,6,4,5
28,Manila Folders,25,3,3,0
29,Hanging File Folders,27,1,14,0
30,Expanding Files,8,0,1,2
31,File Dividers,1,8,0,3
32,File Binders,9,24,0,0
33,Lever Arch Files,4,14,0,7
34,Paper Clips,7,1,1,3
35,Binder Clips,9,8,0,0
36,Staplers,1,15,7,3
37,Staples,2,21,9,2
38,Staple Removers,19,12,4,2
39,Rubber Bands,1,15,1,17
40,Thumb Tacks,14,8,5,0
41,Push Pins,12,0,3,0
42,Drawing Pins,10,8,17,0
43,Glue Sticks,3,2,4,0
44,Liquid Glue,5,14,4,27
45,Double-sided Tape,6,7,0,0
46,Masking Tape,11,13,2,0
47,Transparent Tape,2,26,3,5
48,Packing Tape,6,2,2,2
49,Scissors,6,31,1,0
50,Craft Knives,18,16,1,0
51,Cutting Mats,5,4,2,0
52,Paper Cutters,19,15,2,1
53,Sticky Tack,13,1,0,0
54,Hole Punchers,28,19,0,1
55,Paper Trimmers,8,19,2,3
56,Desk Organizers,9,5,5,0
57,Pencil Holders,28,10,0,1
58,Tape Dispensers,30,0,0,0
59,Letter Openers,28,17,0,0
60,Desk Calendars,5,0,2,1
61,Whiteboards,14,0,0,0
62,Whiteboard Erasers,30,1,2,0
63,Cork Boards,2,31,1,1
64,Bulletin Boards,7,8,1,0
65,Flip Charts,4,3,2,0
66,Desk Lamps,35,7,0,0
67,File Boxes,3,6,0,7
68,Document Holders,0,3,6,7
69,Pen Refills,6,13,1,0
70,Planner Notebooks,42,0,1,3
71,Address Books,4,6,2,1
72,Stamps,31,5,8,4
73,Ink Pads,4,15,13,8
74,Envelop Sealers,21,0,0,0
75,Label Makers,21,0,0,0
76,Labels,1,13,13,0
77,Rubber Stamps,12,1,3,1
78,Paper Weights,0,13,9,2
79,Desk Trays,20,5,0,0
80,Clipboards,15,1,7,3
81,Business Card Holders,4,3,3,2
82,Badge Holders,21,17,0,0
83,ID Card Holders,29,10,1,1
84,Laminating Pouches,9,8,0,1
85,Laminators,5,2,0,2
86,Shredders,25,0,0,0
87,Label Tapes,9,6,0,2
88,Postage Scales,19,0,0,0
89,Mouse Pads,20,8,0,0
90,Desk Pads,23,14,11,0
91,Computer Cleaning Kits,6,3,4,1
92,Screen Wipes,19,3,0,1
93,Keyboard Cleaners,12,3,3,2
94,Printer Paper,12,9,0,0
95,Photo Paper,19,1,1,1
96,Fax Paper Rolls,14,20,10,5
97,Business Envelopes,2,5,1,2
98,A4 Paper,10,9,6,0
99,Legal Pads,23,0,1,0
100,Report Covers,9,24,0,6
