Date:2024-06-30
No,Productname,categories,Initialinventory,week #1,week #2,week #3,week #4,Total_sales,current_inventory,Restock_inventory
1,Ballpoint Pens,Writing Instruments,250,179,50,18,2,249,1,249
2,Gel Pens,Writing Instruments,250,52,164,30,2,248,2,248
3,Fountain Pens,Writing Instruments,250,32,110,7,96,245,5,245
4,Mechanical Pencils,Writing Instruments,250,172,74,0,2,248,2,248
5,Wooden Pencils,Writing Instruments,250,71,84,6,74,235,15,235
6,Highlighters,Writing Instruments,250,139,3,100,2,244,6,244
7,Markers,Writing Instruments,250,121,54,25,38,238,12,238
8,Permanent Markers,Writing Instruments,250,201,47,2,0,250,0,250
9,Whiteboard Markers,Writing Instruments,250,120,92,30,1,243,7,243
10,Colored Pencils,Writing Instruments,250,48,183,5,3,239,11,239
11,Crayons,Writing Instruments,250,160,44,25,16,245,5,245
12,Fine Liners,Writing Instruments,250,199,20,4,26,249,1,249
13,Erasers,Writing Instruments,250,155,23,40,0,218,32,218
14,Pencil Sharpeners,Writing Instruments,250,138,74,31,3,246,4,246
15,Correction Tape,Writing Instruments,100,79,0,1,8,88,12,88
16,Correction Fluid,Writing Instruments,100,32,48,4,0,84,16,84
17,Rulers,Measuring Tools,50,25,12,3,0,40,10,40
18,Protractors,Measuring Tools,50,20,24,6,0,50,0,50
19,Compasses,Measuring Tools,50,30,14,4,2,50,0,50
20,Set Squares,Measuring Tools,50,44,2,2,0,48,2,48
21,Drafting Stencils,Drawing Tools,50,42,1,1,2,46,4,46
22,Graph Paper,Paper Products,75,12,36,5,1,54,21,54
23,Notebooks,Paper Products,75,57,4,3,0,64,11,64
24,Spiral Notebooks,Paper Products,75,30,3,20,19,72,3,72
25,Sticky Notes,Paper Products,75,43,15,1,10,69,6,69
26,Index Cards,Paper Products,75,45,11,11,2,69,6,69
27,Envelopes,Paper Products,75,21,14,18,12,65,10,65
28,Manila Folders,Filing Supplies,25,7,14,1,2,24,1,24
29,Hanging File Folders,Filing Supplies,25,0,2,5,4,11,14,11
30,Expanding Files,Filing Supplies,25,10,2,11,0,23,2,23
31,File Dividers,Filing Supplies,25,0,19,4,0,23,2,23
32,File Binders,Filing Supplies,25,16,7,1,0,24,1,24
33,Lever Arch Files,Filing Supplies,25,6,6,11,0,23,2,23
34,Paper Clips,Fasteners,150,24,78,22,24,148,2,148
35,Binder Clips,Fasteners,150,72,52,21,0,145,5,145
36,Staplers,Fasteners,150,112,5,10,16,143,7,143
